RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
10,7,161.6829518254519,2.9639119196044543
10,8,159.5984433335522,0.6914575320478027
10,9,159.91033861981182,0.26862702191658916
11,7,162.17147386198047,2.701740420296061
11,8,159.3629290420641,0.8797210532371927
11,9,160.4083484417088,0.3288597982217776
12,7,162.09872702144852,2.6557577029198054
12,8,159.74511672317576,0.7245971620925901
12,9,160.35017142325472,0.25986708255112656
13,7,162.93611430373528,2.7184418959838985
13,8,160.4203486678007,0.5796784196053518
13,9,160.19543182570598,0.33205069112478935
14,7,162.98710084702452,2.7484349526365337
14,8,159.85999330866173,0.5098218383605639
14,9,160.7202144469456,0.28353289976430934
15,7,162.6885775083695,2.841725197823028
15,8,159.94139023774704,0.6595862587293121
15,9,160.27127397128316,0.40225275991847925
16,7,162.59456188691289,2.657466389254162
16,8,160.61098432900513,0.5288035294769838
16,9,160.6372015598379,0.30946358924690204
17,7,162.71970064527193,2.9393378592652586
17,8,160.74057493590834,0.7512034169047827
17,9,160.9317706128986,0.430890023297981
18,7,162.26921018989938,2.8125829232753974
18,8,160.07838071586232,0.5458451796400761
18,9,160.69930419703192,0.5780536127487431
19,7,162.99383000400425,3.0523075298238735
19,8,160.49049860828427,0.6002190791121031
19,9,161.53875064353096,0.7313570473424058
20,7,164.21643071474406,2.684758036626379
20,8,161.70823767741138,0.8050512970747251
20,9,162.54970257526801,0.2895396323244302
21,7,163.9356023000141,2.5719107175493376
21,8,161.52441628247126,0.858478160509166
21,9,161.93875987813573,0.23028940519508762
22,7,165.76263905151532,3.3857271622054883
22,8,162.00318789896878,1.0040809555208488
22,9,162.59612950794386,0.6602976612925028
23,7,163.8068238844274,2.765017807233262
23,8,160.7956710747222,1.3232272189564216
23,9,161.81970492107058,0.5365041282156365
24,7,164.13902964417505,2.6767670671564017
24,8,161.49983487251106,0.7891183210650259
24,9,162.08799209268736,0.20374596703105372
25,7,163.95109633894245,2.638923054032016
25,8,161.75670430061137,0.5916200667749918
25,9,161.83081659528196,0.24310838536750595
26,7,164.4150725332494,4.510164089412446
26,8,161.18753042003246,4.28484994254663
26,9,161.39399437355706,2.9999577202510257
27,7,164.45013337586929,2.5140739305359125
27,8,162.02994903705078,0.6204521231127059
27,9,162.0273955578029,0.22347727716460603
28,7,164.40352013364753,2.7855812011963326
28,8,161.42287851428338,0.8033744100017001
28,9,162.0838406599578,0.2705910454556401
29,7,163.2858073324944,2.898711969184626
29,8,160.19705552978505,1.8976149224882217
30,7,165.67822579922785,2.738655272271329
30,8,163.14501159615338,0.7809879495660891
31,7,165.31302703824267,2.6809652673484248
31,8,162.97793460514166,0.827315977090613
32,7,165.41898508477777,2.7872788156270483
32,8,162.96037915153022,0.6186206669188639
33,7,165.48444752476118,2.866483036693671
33,8,163.3309381784788,0.8437547977559545
34,7,-12.66102110125598,2.743331790811053
34,8,-15.136568963705464,0.6759928677321375
35,7,-13.465294131718265,2.621050970533219
35,8,-14.867897354785349,0.5869675357349242
36,7,-9.324294149526896,2.4981528717505253
36,8,-12.33866928063726,1.0517193166405916
37,7,-9.116919146151803,2.648457424247328
37,8,-11.447304971874132,0.6759819214194678
38,7,-11.02077588467804,3.4377030802432413
38,8,-14.363984256264185,3.0825506049563973
39,7,-8.832190509430582,2.6032151156086627
39,8,-11.327621009530484,0.7760906001118475
40,7,-9.050436697685473,2.632920712255367
40,8,-11.53257080736834,0.7872895057607466
41,7,-11.477015300102893,3.799037779977035
41,8,-14.043862156532775,2.8092148995659416
42,7,-8.827432216741936,2.584577959484882
42,8,-11.833490881792919,0.7898018200212324
43,7,-9.332184142272485,2.669221248453103
43,8,-11.59537047498979,0.6882658654833063
44,7,-11.251141339790433,3.6286308540961976
44,8,-14.53059423715696,3.3025267940855847
45,7,-8.781106584014072,2.6683991545752725
45,8,-11.55885234749174,0.6809076702155814
46,7,-8.823558362252363,2.6330888298496116
46,8,-11.582816030171665,0.8493060806787643
47,7,-11.171106238682043,3.6572692965356866
47,8,-12.679590342643174,3.031572960527552
48,7,-8.367611487719062,2.554696534212515
48,8,-11.782624189352898,0.660031478607891
49,7,-8.71357666333311,2.7068030161805434
49,8,-11.666113523015715,0.7109682590896117
50,7,-11.864033039906591,3.723300594231168
50,8,-12.624942372525243,2.3344104198773663
51,7,-9.443119074695444,2.5597161702751734
51,8,-11.954632194126926,0.8503105492393302
52,7,-9.204446324694416,2.718944118166935
52,8,-11.140765611585262,0.8583813885765543
53,7,-11.809390923972465,4.161893956291614
53,8,-12.510422506502875,2.2883017680704723
54,7,-8.520181306779545,2.6092900054645223
54,8,-10.935039973237222,0.6547865682381957
55,7,-15.576586853424965,2.610867467414743
55,8,-18.092181558784723,0.7060557212414103
7,7,160.77999051015547,2.659343576619742
7,8,158.11631677105672,1.211142597893063
7,9,159.18443866533426,0.5854907444410044
8,7,162.15645405075293,2.757224390716381
8,8,159.48840906983733,0.826726540903085
8,9,159.910527144058,0.29820678057602834
9,7,162.1186569860657,2.879657248744567
9,8,159.42986264554625,0.7199564380808932
9,9,160.48839163766453,0.27354569440752186
