master_clock_rate        rate  divfactor      vcorate  vcodiv  nint   nfrac      adcclk
        16000000.0 256000000.0       16.0 1024000000.0       4    25 1253376 256000000.0
         4000000.0  64000000.0       16.0 1024000000.0      16    25 1253376  64000000.0
         8000000.0 128000000.0       16.0 1024000000.0       8    25 1253376 128000000.0
        10000000.0 160000000.0       16.0 1280000000.0       8    32       0 160000000.0
        12500000.0 200000000.0       16.0  800000000.0       4    20       0 200000000.0
        16000000.0 256000000.0       16.0 1024000000.0       4    25 1253376 256000000.0
        20000000.0 320000000.0       16.0 1280000000.0       4    32       0 320000000.0
        25000000.0 400000000.0       16.0  800000000.0       2    20       0 400000000.0
        32000000.0 512000000.0       16.0 1024000000.0       2    25 1253376 512000000.0
        40000000.0 640000000.0       16.0 1280000000.0       2    32       0 640000000.0
        50000000.0 600000000.0       12.0 1200000000.0       2    30       0 600000000.0
        61000000.0 488000000.0        8.0  976000000.0       2    24  835584 488000000.0
