hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T07,18,18,4.338375973789202,2.9237154950108626
T07,47,47,1.3327851307649317,2.3416466438151473
T07,30,7,4.228714727126728,2.259834231215934
T07,30,35,-175.0645395366706,0.167912167821352
T07,30,11,4.85640022518797,2.5121736379209736
T07,19,19,-0.9466560447742465,2.4120207832877014
T07,30,26,0.6282430450461559,2.0433502386340243
T07,30,32,2.008906928082016,3.1395249694085825
T07,30,41,178.2743561981288,1.6139156769017025
T07,21,21,1.1937374993638736,0.037942525320749224
T07,12,12,0.5374441841228826,2.645832156073978
T07,30,17,8.591024568821904,4.146770019578287
T07,14,14,-0.35083441391483533,1.496171885293247
T07,30,36,-178.8460980333253,2.704936294207974
T07,30,8,2.058133118225208,2.061284517501491
T07,22,22,-0.5238706331718778,3.1509579716833374
T07,36,36,0.8660908975628175,0.022462880971818592
T07,25,25,2.008846027735296,1.4692081876762693
T07,30,45,178.62174259476163,2.035914419854139
T07,30,28,4.852708195186722,2.3058001714449095
T07,30,31,2.443973072102473,2.560388638452132
T07,30,15,6.715237899087961,2.3730466850092333
T07,27,27,1.6008337722053836,0.758074752905806
T07,44,44,1.2406324909327668,2.042200173558815
T07,8,8,1.2153813861477403,0.11350216587333213
T07,20,20,1.1801580091407275,0.09091680312211345
T07,48,48,0.9139524714583253,2.415750313612053
T07,24,24,1.3923498510537282,2.9097349491246534
T07,30,19,1.4919009343569076,2.9491937889069493
T07,30,37,179.64657473849962,1.8887685329478043
T07,46,46,1.780316140572343,1.5202046971209746
T07,30,34,-172.8242103959528,2.5993463696469634
T07,30,47,179.19134297798698,2.11531890134633
T07,7,7,0.4817335667166561,0.6429502720292145
T07,30,24,3.16883118469195,2.9352214875754896
T07,30,43,-178.32916604998226,2.69067338322666
T07,42,42,0.8752858029185654,0.039965469186982155
T07,30,12,3.2370087640760534,4.097830399223606
T07,11,11,1.0855330105054783,0.238620183096895
T07,23,23,1.193746781319013,0.07688571168799112
T07,9,9,4.143687741664687,3.0486931493219123
T07,30,27,4.648469008249894,4.020245983372336
T07,30,20,3.316774296195683,3.0895948501356023
T07,30,13,-0.03226991120854857,3.899374697771954
T07,30,22,3.5253231806612964,2.9825182848608986
T07,41,41,0.8634273102411111,0.0739418033959431
T07,30,40,-178.91949115226035,3.5322426999783856
T07,29,29,1.0544697196379993,0.20976454859355217
T07,13,13,-1.110161069850332,2.03371468918148
T07,30,48,177.67903885106819,2.4340297393805645
T07,30,30,1.05029084277927,0.5724955622887845
T07,30,14,4.895438483017688,2.584702039530906
T07,30,25,3.5641166895225234,2.8190370601761754
T07,30,42,178.70035006632386,2.054934500029526
T07,30,44,-179.9713762116871,2.7294038180266953
T07,30,10,1.85668575417891,3.172601754945423
T07,30,33,0.8494862018492987,0.515559383126309
T07,30,21,2.4276026676893,3.327824139786082
T07,34,34,1.0876489225378196,0.02394690472659121
T07,38,38,0.8634355789266671,0.03950825668558496
T07,16,16,-1.477265806846785,1.951681704407773
T07,28,28,0.6842554488998124,2.308587392996112
T07,30,46,-178.38002186806114,2.604338969653702
T07,45,45,1.1684217769484615,0.647655910150094
T07,10,10,1.1675328041042627,0.14226688183919295
T07,43,43,0.32649190877288947,2.720990044643724
T07,32,32,1.1613176747958658,0.07169373462111121
T07,30,9,7.801175428185979,4.56736026690007
T07,40,40,0.09874693599953123,3.8148812997417205
T07,30,38,-178.95602478523648,2.4117635899834897
T07,37,37,0.0673353975654853,2.6936111287682905
T07,33,33,1.5481703319579228,0.7605685390273017
T07,31,31,1.1546799969759656,0.3280532291257252
T07,30,18,6.239290636454065,2.9534017958450325
T07,39,39,0.5243981509161789,1.5607021984977294
T07,17,17,4.092359599015073,2.3002331309844934
T07,30,29,2.8176748055617717,3.3990520404926077
T07,26,26,1.1603071778748328,0.11403719680771855
T07,35,35,1.7121186268602282,1.2663798858704909
T07,30,23,2.933618964276728,3.568063615220699
T07,30,39,179.34015462858923,1.6701588553532545
T07,15,15,3.038597608943619,2.855819368519084
T07,30,16,-0.24615542275159022,3.656237563795049
