hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T05,20,20,2.9304822393273695,2.635597215386325
T05,43,43,3.52794621918246,3.4840400508353078
T05,48,48,2.511172577088645,1.5730980974623796
T05,30,44,-179.5710781975165,0.965540672553065
T05,27,27,1.966848184680291,0.1695966299992918
T05,8,8,1.9963297328617469,0.18813656243821905
T05,26,26,-0.6930537266025448,3.8875355257635538
T05,30,25,3.486873873899676,0.16640322382968287
T05,31,31,1.9917165500915321,0.03167071704467297
T05,30,40,-178.46952310276788,0.30182064499611355
T05,12,12,1.8137697156501529,0.3078309420263716
T05,19,19,7.921914339790643,4.145406095921384
T05,21,21,1.9479619006669397,0.28892122407240733
T05,30,15,5.5963694002121995,0.19254655683392513
T05,38,38,2.300324882922329,0.1157882799756161
T05,17,17,-1.7742148642864868,3.352389236433885
T05,30,23,5.334157786455882,3.093892049243364
T05,30,43,-176.91828972307562,3.1085193367266166
T05,29,29,1.9996303959528148,0.43620752833368687
T05,30,31,1.9836236944659766,0.08103421004878744
T05,30,35,-173.91045483839963,3.164377829470877
T05,46,46,2.5731632352449494,2.24198665773795
T05,35,35,2.1861132355058155,0.0972814692066729
T05,30,45,-177.90531664011283,1.9263428978000903
T05,9,9,2.007230001988855,0.09651110658675527
T05,30,26,5.676108263425607,2.358167607555334
T05,37,37,2.30211243222732,0.07827072238273126
T05,30,24,3.610716463477869,0.1484818581730522
T05,32,32,3.989448160220352,3.872525166891457
T05,18,18,1.2505957615617431,0.939096329397366
T05,30,33,1.938148909004499,0.14923442375146218
T05,30,36,-178.55428518631035,0.19007185213155242
T05,22,22,1.9597303564871345,0.04791502460316788
T05,30,41,-178.78696355907033,2.0074452015538733
T05,44,44,1.4946901165422197,1.394629135136358
T05,34,34,5.397026019735944,5.322519262992285
T05,30,34,-170.95747781587312,1.9724462504427527
T05,42,42,2.373376010230517,1.488273629504309
T05,30,30,1.9815567984792186,0.2012226061482968
T05,24,24,1.911511882636929,0.09023405743316587
T05,23,23,3.329943634798029,3.5451501725030337
T05,16,16,3.3322270013039748,2.938951701510986
T05,15,15,2.022287617665181,0.248110557192884
T05,33,33,2.0256378362912324,0.15897734957006038
T05,30,27,3.3806012349431755,0.16898770175858965
T05,30,42,-176.4138496665196,1.9944200296479306
T05,14,14,0.9835871521214781,2.27865819385234
T05,11,11,2.0661986543241184,0.3793480335370455
T05,30,9,5.552657147140228,0.16924094968885742
T05,30,21,3.51444874418017,0.16308740579177242
T05,41,41,2.2843381310576194,0.11120224857088826
T05,30,37,-178.49326985680324,0.25159337113491287
T05,30,22,3.680462908222778,0.21483047894290347
T05,30,28,3.767682371753169,0.3419880962286545
T05,30,10,6.957433903201224,1.8003196351218669
T05,45,45,2.5935082555889877,3.0264987879438805
T05,30,47,-179.03787120513567,1.446623423819983
T05,30,29,3.831388497133758,3.0999659819094667
T05,30,13,7.57567801465902,1.9117373954672086
T05,30,48,-179.37775225298657,1.4673910622045172
T05,10,10,0.5226545182810836,1.7279086711977567
T05,30,38,-177.24601387381145,1.3530393409818242
T05,30,12,5.4327463624321055,0.20705106213536492
T05,30,18,5.131950870970257,0.36592781838269994
T05,36,36,2.8327372302937714,2.3690669772966406
T05,30,46,-178.621122488566,1.5470857221639627
T05,30,17,4.192460560506863,2.1638376697495203
T05,39,39,4.284675850034358,3.693260135108614
T05,30,20,6.378675979248042,2.6604426174119755
T05,30,32,1.3957134888267615,2.0285960158077487
T05,28,28,1.9403984159393821,0.061305388533646345
T05,30,8,5.565227231158482,0.27090285176407375
T05,30,16,5.550352715208307,0.14824410763751364
T05,40,40,2.3270813861329436,0.11196177867958765
T05,25,25,1.8879031980564098,0.12381770530904242
T05,30,11,5.639448922808793,0.1680467938472553
T05,30,19,6.714865737429455,2.0307194151685697
T05,13,13,1.6199819744555213,2.299936139963301
T05,30,39,-178.55426403864527,0.18367262810339838
T05,30,7,9.457653518126,2.06752424871653
T05,30,14,3.166574187682111,2.1926198867735915
T05,47,47,2.430436733617222,2.617134329092359
T05,7,7,7.153528969914724,3.724833106823194
