hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T06,30,10,2.9356116903183453,2.045780493731756
T06,30,11,2.211998418869207,2.124038614232344
T06,30,12,4.104255868430741,0.920223196030404
T06,30,13,6.1593606404960175,1.8871716597764352
T06,30,14,8.006247764962412,2.998986337413421
T06,30,15,2.684218762945806,1.7250799628060638
T06,30,16,4.06868463559112,1.5888788527345417
T06,30,17,4.271348077731307,5.257687463880678
T06,30,18,6.87915389554559,1.9794564454386
T06,30,19,5.433121589747551,0.8784314205924355
T06,30,20,3.491265972125649,1.8105202242000766
T06,30,21,6.448141873696879,3.356526911063375
T06,30,22,3.732358085717738,1.7793971226098613
T06,30,23,1.2921625121325793,1.8192160996522901
T06,30,24,-0.7252028015942198,2.5334287602737953
T06,30,25,2.5511149454006907,0.2948655926868471
T06,30,26,2.5313316464935047,0.5092314753871958
T06,30,27,5.094323445602004,3.357845602582283
T06,30,28,6.551821992134618,2.7705547093833753
T06,30,29,4.853891842662157,2.1745122459900283
T06,30,30,0.7677913705383059,0.43481687925985024
T06,30,31,1.0380289320388025,2.6324592280360988
T06,30,32,-0.28334283561371343,2.5285674208565854
T06,30,33,-0.5154775074995557,4.1120283605881465
T06,30,34,-177.70544470968557,3.810074816958611
T06,30,35,-178.8513859044726,1.6901589854862267
T06,30,36,175.483347955372,1.421233752957751
T06,30,37,175.1679287894914,2.6473012336062416
T06,30,38,176.95093145681577,1.9023513395756444
T06,30,39,-179.3936988358928,4.009579258524477
T06,30,40,178.76412540793012,3.3289368535004753
T06,30,41,175.73600360212873,1.6533979214273393
T06,30,42,175.91290855461912,1.68569402085667
T06,30,43,176.8239748938207,1.3640237738836756
T06,30,44,178.13806779174644,1.7851233498622767
T06,30,45,177.16234108136157,0.991330884978826
T06,30,46,176.87308091330885,3.528297550565103
T06,30,47,176.2170314425009,2.6671645339198538
T06,30,48,175.53112490822565,1.5939718720975122
T06,30,7,4.459043346702632,3.1112951515790463
T06,30,8,5.458397097114791,1.7340865733200723
T06,30,9,4.367235813862536,0.7730700186824973
T06,10,10,1.000980523344875,0.38048410302910385
T06,11,11,0.27286683715203464,0.7700965057784404
T06,12,12,0.2935846498883418,0.5315257864445337
T06,13,13,3.258593737849766,1.8177127664725812
T06,14,14,5.369960925486698,3.2533974524896085
T06,15,15,-2.62362575861758,2.8711556061171515
T06,16,16,1.1841119327020355,2.868454696601115
T06,17,17,3.4607710880206386,2.618037687815558
T06,18,18,-3.5482631147975767,3.238910236174191
T06,19,19,1.664885202802982,3.546779257123961
T06,20,20,1.0219805434473381,0.07664046754045695
T06,21,21,1.309681065224989,2.5251371767307464
T06,22,22,1.0181744203793766,0.14298146512625245
T06,23,23,0.8652392989833363,0.19916364980199674
T06,24,24,-0.5751213817019396,3.4266692374694534
T06,25,25,1.1329139688875614,0.11857312785733193
