hostname,Meas id,Circular Mean (degrees),Circular Std Dev (degrees)
T05,45,-169.8152101011789,0.13444544480304832
T05,42,-170.01972400561974,0.13439756102542563
T05,14,-170.0853187748552,0.13687169286936826
T05,17,-170.57613182840976,0.175639337762385
T05,15,-170.51878538838778,0.13177582765195398
T05,25,-169.7429674758864,0.12768026107178976
T05,46,-170.1338185731969,0.18650346358110337
T05,21,-170.47527521471494,0.14139409959774452
T05,9,-170.55192875538472,0.13801108176538068
T05,20,-170.41598500612218,0.12355980923875025
T05,30,-170.57206522719224,0.14264583224191774
T05,8,-169.78797575431315,0.13965948887363303
T05,12,-170.2085420842365,0.17643824679125553
T05,50,-169.79057615871284,0.13999421761296252
T05,28,-169.85697721351823,0.16503181722128676
T05,2,-170.51614151509344,0.15156629833555219
T05,19,-170.47820623886744,0.12998598869604436
T05,40,-170.33686446918148,0.13857151025277276
T05,33,-170.1033480424422,0.14886595773985697
T05,43,-170.10709056134118,0.17694860620461128
T05,23,-169.72699664753353,0.13949753909210863
T05,37,-170.442850433155,0.15061916015712962
T05,35,-170.3859877079998,0.13469659864568975
T05,13,-169.85187988510174,0.15092759287361668
T05,7,-170.1102583266882,0.1321950396501754
T05,22,-170.41240374780807,0.12474987039005876
T05,6,-169.77521978984814,0.15574654828309062
T05,31,-169.80675474419132,0.13970487032888745
T05,26,-169.73269147885364,0.15158048901844065
T05,24,-169.7521685605467,0.12946922175289044
T05,1,-170.57727806507435,0.17741576013136218
T05,4,-169.83134357839756,0.14866433142159619
T05,44,-169.6511297719533,0.12388018012628829
T05,34,-170.52663548203242,0.17455754269114182
T05,47,-169.6681366580945,0.1293895418881033
T05,18,-169.84952784587986,0.17511490618282324
T05,48,-170.43508749863344,0.15772795835833722
T05,32,-170.3395367626908,0.15016024343543866
T05,3,-170.4260957412618,0.12537917512968727
T05,5,-169.72761248290558,0.16644560485102114
T05,10,-169.80467253273255,0.1826545300783261
T05,16,-170.10761790420077,0.1534630804720372
T05,29,-170.57775785824057,0.14993642456525844
T05,11,-170.62424397173353,0.1581187048758956
T05,38,-170.58685031369112,0.13847757153159815
T05,39,-170.41846410091458,0.1287307691946508
T05,36,-170.15832615225264,0.18136176375544458
T05,27,-170.33669884165406,0.14288517772413323
T05,49,-170.38401159840402,0.1253342859713808
T05,41,-169.7412943990073,0.1597409616295993
T06,43,-167.4269853192993,0.1396455778512754
T06,40,-166.87199662531185,0.13502237737446643
T06,2,-167.86997119685785,0.12340589108150417
T06,42,-167.41385383656012,0.12993681609287622
T06,44,-167.3751497945455,0.12775574543707952
T06,9,-166.990693806141,0.14572362945878725
T06,41,-166.93702246050734,0.14354228297822294
T06,10,-166.914199839817,0.1352653734218162
T06,39,-167.63085671938023,0.15489249448074682
T06,8,-167.6963167565791,0.14211560583091332
T06,49,-167.31019729645135,0.1445211606842006
T06,14,-167.74371379480286,0.15169765643375827
T06,30,-166.95735883402205,0.14707197505242645
T06,5,-166.90292110750124,0.14589033235666568
T06,36,-167.05102380501873,0.12393937613277058
T06,12,-167.0740506028363,0.12970833145493763
T06,18,-167.09523338067717,0.16594882834235897
T06,33,-166.94019018958363,0.1509624655792638
T06,1,-167.0479096163652,0.1315457879584859
T06,45,-167.04945221759743,0.14536219294512293
T06,24,-167.07538644994145,0.16595766791110833
T06,32,-167.33192010947465,0.14414338509906857
T06,20,-167.6155866779835,0.1830549196405601
T06,48,-166.93263245506319,0.16775673576975267
T06,16,-167.43957259087549,0.13532760538433958
T06,23,-166.9646192258661,0.1337867934245328
T06,31,-167.02693887916556,0.1516465020964186
T06,21,-167.6048663168064,0.13572200775517673
T06,25,-167.28065398145586,0.12557760540541407
T06,13,-167.63235090156118,0.1346982239045495
T06,28,-167.6842713170536,0.12467372353609836
T06,35,-166.90499381744144,0.14867208339219845
T06,26,-167.4502990850142,0.13608836696442136
T06,19,-167.3718506714892,0.1315549793183883
T06,3,-166.93946336739967,0.2691931655164934
T06,38,-166.89864783874523,0.20151117738336788
T06,46,-167.69871250058895,0.12099697399703718
T06,15,-167.02987583200562,0.15093195065506557
T06,7,-167.43432428733442,0.15812871127811248
T06,34,-167.6355240441211,0.14642064778188632
T06,6,-167.69328564799048,0.13409855631973575
T06,50,-166.97509167994235,0.16053085958764818
T06,17,-167.05583797562684,0.13532479548011078
T06,47,-167.0922552130753,0.1592680720278207
T06,27,-167.585170521961,0.13589477114460233
T06,22,-167.45594374199953,0.12622299659599473
T06,37,-167.88340268351342,0.15116509805508885
T06,11,-167.02096383533313,0.17880972559802277
T06,29,-167.77907736111814,0.1525967810507892
T06,4,-167.7776174237066,0.13194929184605983
T07,29,-168.35998772115315,0.13943363156491156
T07,20,-169.05067534300173,0.1618444383140216
T07,11,-169.08400659213316,0.17310807607923592
T07,49,-168.75073118472824,0.17330680627359074
T07,46,-168.61779280684655,0.22047750681432315
T07,32,-168.34981184900425,0.17597448463674523
T07,38,-168.39354246866316,0.17468404799752682
T07,30,-168.5001385934905,0.16838004471576537
T07,13,-168.27473281124534,0.19264958631663717
T07,14,-168.392460676123,0.21389165334831753
T07,33,-168.93472113622488,0.13892691105500124
T07,34,-168.31004925760982,0.12863550534278362
T07,6,-168.44942570663602,0.15943281539650211
T07,45,-169.29402932132365,0.23568524707146327
T07,19,-169.1347347786048,0.15975674682478652
T07,17,-168.641842482595,0.26492419099682646
T07,8,-169.13610008119934,0.1881913701204182
T07,43,-168.93642336891133,0.13934114173332368
T07,22,-169.01487936788308,0.1456412895364657
T07,26,-169.12268546353306,0.1644049335223063
T07,7,-168.85716833463928,0.18832496021454156
T07,10,-168.38360018951906,0.19920785932485136
T07,35,-169.0791222565284,0.2321418567895822
T07,39,-168.71297229299847,0.13774271029297455
T07,37,-168.32205307284684,0.21960255260250844
T07,12,-168.75074384467277,0.2165542211602257
T07,25,-168.53967416574545,0.20996598483179202
T07,1,-168.81193068097792,0.1670898009692863
T07,48,-169.0532748591146,0.19729074903267832
T07,27,-168.6676381085421,0.15458692036950575
T07,5,-169.07682840303198,0.1473831304515721
T07,42,-168.48673700995616,0.19970363889109116
T07,21,-168.49335554175113,0.15772881542509326
T07,28,-168.53642219280718,0.16660310126219083
T07,50,-168.85357226434846,0.18066836497805205
T07,3,-168.48005868115555,0.23924654825616926
T07,47,-169.15480404504214,0.18048642567162082
T07,44,-168.77837133874715,0.13318393318719055
T07,15,-168.8726450793631,0.19960918116597284
T07,23,-169.09130334968904,0.20760840969471014
T07,24,-168.81737589631206,0.17191338252223606
T07,36,-168.45450122705375,0.2108020948299844
T07,2,-168.78402599003283,0.1523054707085261
T07,41,-168.4963305028025,0.24751735676226325
T07,40,-168.60630238941167,0.21640980560034387
T07,4,-169.20170527361404,0.17281777587973185
T07,18,-169.14234134420408,0.1553247695369897
T07,31,-168.58511633191327,0.22225091744647305
T07,16,-168.50798658326133,0.18260250072625733
T07,9,-168.2893633648768,0.14721358703142276
T08,38,-166.86472981878993,0.10843752245831002
T08,6,-166.6987076491059,0.11281296301801283
T08,15,-166.04603340774992,0.12380143231357071
T08,8,-166.63215141235892,0.1146349791915676
T08,29,-166.56072541411638,0.10790289903472489
T08,48,-166.21652660100017,0.10643815144835063
T08,16,-166.69458011582185,0.1076611642860225
T08,13,-166.87819391782222,0.11078115079599046
T08,27,-166.0840694928696,0.11582380439313307
T08,30,-166.66736351712197,0.12004684663734505
T08,32,-165.9851833044664,0.1073735398305431
T08,36,-166.80543165106528,0.11728610346023323
T08,19,-166.43052430322717,0.10628236119668187
T08,28,-166.0773901543783,0.10940215338265044
T08,9,-166.5162488305097,0.1143119347319081
T08,50,-166.40336659105785,0.1192277906238534
T08,2,-166.8118655650968,0.1119422774830888
T08,41,-166.55210736808772,0.1078572029543408
T08,5,-166.79339454999516,0.12036822844854578
T08,49,-166.0533443761572,0.10473511361541865
T08,35,-166.15478269148943,0.11212484408665196
T08,22,-166.21053672215854,0.10924872423693914
T08,40,-166.7383775456884,0.1149088398655658
T08,20,-166.38592171689635,0.11349624611368525
T08,31,-166.63213111465444,0.11802767301708827
T08,43,-166.51787840812221,0.10522390865879112
T08,37,-166.89371646553838,0.11332033002770399
T08,39,-165.98517790180523,0.10611319209788635
T08,45,-166.087471008452,0.12444691448240496
T08,23,-166.14726999118815,0.1084434232795448
T08,25,-166.10024720762226,0.10991272578377677
T08,33,-166.08382981315745,0.11492112307166756
T08,46,-166.18482520177622,0.10528852364604449
T08,47,-166.37952602504967,0.11767501775103283
T08,7,-166.0559489657514,0.10590288246646937
T08,12,-166.8301686456344,0.11279887414748391
T08,18,-166.62442198567746,0.1113078178747413
T08,17,-166.34801090980739,0.11354320464483132
T08,24,-166.84372490142778,0.10682651269659621
T08,34,-166.02801937415828,0.10998304752212806
T08,14,-166.42966943570988,0.11273595162172119
T08,11,-166.69024764409755,0.10117337768646181
T08,1,-166.34284168977106,0.10621394714934716
T08,44,-166.73388510862713,0.10207176781690303
T08,26,-166.77652153655538,0.12998061629526583
T08,10,-166.43191974789613,0.11203575352683334
T08,42,-166.91385126664477,0.1057479479606573
T08,3,-166.52557178083686,0.10782058310676826
T08,21,-166.4929327983823,0.11418464346555504
T08,4,-166.52802150472544,0.10488464819312199
