hostname,Meas id,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees)
T05,1,30,17,-166.4259376909564,3.5905736448118426
T05,1,30,27,-169.13032661653122,2.7450887925042635
T05,1,30,37,10.860239572104527,0.06209670603234133
T05,1,30,32,-170.7003871474565,0.19315379149910822
T05,1,30,31,-170.21410297356226,0.19621055215939895
T05,1,30,10,-167.96534020115226,2.4363349549773816
T05,1,30,42,10.667005365485998,1.1311163469223606
T05,1,30,34,13.722365463130643,1.2810012473105044
T05,1,30,25,-169.00910368587827,2.6696550702357587
T05,1,30,29,-168.69616543353638,0.21888933073195596
T05,1,30,14,-166.20385382966188,3.6520499309584658
T05,1,30,26,-169.60632315918002,2.861372176802126
T05,1,30,33,-167.17242673972592,1.9281810587469606
T05,1,30,48,13.599009778107455,1.936913757036651
T05,1,30,44,11.136988749099116,0.08718554370575188
T05,1,30,9,-167.61809791278768,1.1803854875832531
T05,1,30,46,8.284368740219435,1.5762424366457537
T05,1,30,30,-170.08355893325484,0.14549850273548254
T05,1,30,20,-170.00283936773806,0.9031689836818226
T05,1,30,47,10.75825075096913,0.10870958906104031
T05,1,30,38,11.323094579331093,0.0606490891898514
T05,1,30,24,-168.57541019199823,2.6285959866101054
T05,1,30,11,-165.29989669644186,2.7730191428156257
T05,1,30,36,10.552413582245753,1.7549973373121703
T05,1,30,13,-166.76721256846247,3.4466909188065644
T05,1,30,43,10.514782507139149,0.07761183627957859
T05,1,30,22,-171.2086207920676,1.7832412755692175
T05,1,30,8,-166.65093007261197,1.0162334079452984
T05,1,30,12,-166.4383474059224,3.1405861964541884
T05,1,30,16,-166.01570013258993,3.359938854412293
T05,1,30,18,-166.80947732949244,3.5939314617495635
T05,1,30,7,-165.52213263224576,3.4475141493475623
T05,1,30,23,-169.26577350589943,2.7282994480770073
T05,1,30,41,10.422932755407542,0.06833304142216734
T05,1,30,28,-168.0947341329877,0.20612196197588134
T05,1,30,21,-169.80321507127394,1.2850480156791868
T05,1,30,15,-166.5121127896117,3.775271259364224
T05,1,30,39,10.157416269832169,0.9378731444087566
T05,1,30,19,-165.9738125368845,3.5861163944082115
T05,1,30,35,16.64769089952657,2.192724546438602
T05,1,30,40,11.129545559605113,0.06543106796450608
T05,1,30,45,11.044157082808514,1.219809044570547
T06,1,30,35,17.669818896927882,0.4057116404033825
T06,1,30,36,12.04418880206631,1.7868231559501233
T06,1,30,46,10.23535506782121,1.933553373555505
T06,1,30,32,-167.69604256276855,0.26088794766232754
T06,1,30,20,-166.2051535376889,0.31662191119722327
T06,1,30,8,-164.14660397676093,2.4081177449016145
T06,1,30,37,13.114181505316443,0.05197019052327906
T06,1,30,29,-165.29190388868892,0.21864037732475844
T06,1,30,27,-166.78527696080548,2.8578297396407133
T06,1,30,43,11.20886152375226,1.406299223954618
T06,1,30,9,-164.03321303588214,1.1948687372385975
T06,1,30,31,-167.7660591915198,0.17146283971691692
T06,1,30,24,-168.37659242248174,2.6434754005877936
T06,1,30,7,-161.84199644182496,4.19148481125725
T06,1,30,12,-163.54856998709084,3.960795787661403
T06,1,30,30,-167.27336995987915,0.1614830840934152
T06,1,30,17,-164.24479846388243,4.170959255767446
T06,1,30,19,-163.41456479483614,3.562233203144595
T06,1,30,21,-165.4542836343777,0.5738525727522328
T06,1,30,10,-166.62100069777034,2.683303981956316
T06,1,30,41,13.459052235447095,0.08876538607484485
T06,1,30,42,13.384644499937318,1.5901604870820691
T06,1,30,23,-167.742108128906,1.8911112776339163
T06,1,30,13,-163.8256976658431,3.4833033803377838
T06,1,30,38,12.801839760716863,0.07047726039046924
T06,1,30,40,12.720245019947114,0.7814394336983834
T06,1,30,18,-164.30253900461443,3.1070978828557294
T06,1,30,22,-166.1282439125553,1.263879625712759
T06,1,30,16,-164.3074206214086,3.201861739047323
T06,1,30,47,13.340421229651055,0.19197250291959433
T06,1,30,39,13.31078924997842,1.2804454958307232
T06,1,30,45,16.300950674194688,2.001739850534935
T06,1,30,34,16.96906790500878,1.1536091820228511
T06,1,30,25,-166.31778897057094,2.9435177150997243
T06,1,30,48,15.975303616362517,2.10579564561793
T06,1,30,15,-163.87166459381473,3.9171395644223854
T06,1,30,33,-167.83314476125418,1.4285056744901465
T06,1,30,11,-164.18384452309044,3.3937097975291044
T06,1,30,26,-166.2580290008716,2.904970948925905
T06,1,30,28,-166.1229708624782,0.21834187034437064
T06,1,30,44,13.315676909112003,0.14746646865501156
T06,1,30,14,-163.70913404266486,4.019545104681914
T07,1,30,41,10.9623079840959,0.08515101248933997
T07,1,30,9,-165.29101936770326,0.908112248862497
T07,1,30,7,-162.53498568781876,3.5707441588985445
T07,1,30,29,-167.00161866391576,0.1957128483908619
