ts,CH2,CH3,CH4
20251114_160828,314.5518393892277,277.81265500997,233.2162850551879
20251114_160939,316.2797292382586,276.7384805862183,233.7569163451916
20251114_161050,316.2864946610899,276.5177457835208,234.3828696924121
20251114_161201,315.731395730961,276.7926425235604,232.3418689325302
20251114_161312,314.9713759833227,278.8725952895111,232.8214866498676
20251114_161423,316.1195381011643,277.2525256013842,232.7839512360551
20251114_161534,314.7685218101398,277.4619889235041,232.6380148963609
20251114_161645,315.5294212198152,277.6618582694967,233.4466705404233
20251114_161756,314.8158351567448,277.6275430195773,232.201986888393
20251114_161907,316.679660540961,277.6966882981084,234.273423252017
20251114_162018,316.5937842241845,277.6472367163746,232.4053483601737
20251114_162129,316.0613455915937,276.7347134766786,233.5183084986767
20251114_162240,316.1876010747092,276.786861342972,233.0746495420674
20251114_162351,313.9873951758304,275.3746060428719,232.9123912538811
20251114_162502,316.3336297015252,278.0661796388098,233.5831881357004
20251114_162613,314.4238162885205,275.836773266468,232.7366276363576
20251114_162724,315.8476354089197,277.3221458235577,233.4977984311522
20251114_162835,315.3531983264379,277.8244496637699,232.4679577982582
20251114_162946,315.453509652002,276.8237030911877,232.7852755438911
20251114_163057,316.6303899218115,277.6986926232636,234.3042834955538
20251114_163208,315.0574971406107,276.6925634390532,233.0929697774778
20251114_163319,315.6826956291421,279.3440368374771,233.2974309308705
20251114_163430,315.9127298701548,277.3174584879312,234.6347718916522
20251114_163541,315.5461704277449,276.5792083600721,233.1677393000682
20251114_163652,315.0550204052782,276.1800139006081,233.2323520268702
20251114_163803,315.338987431971,275.7508790278998,231.5125358516739
20251114_163914,315.9048078308746,275.8736534319339,233.5140368058255
20251114_164025,314.6671342547014,276.8536502194298,232.8568834746356
20251114_164136,313.8396532182427,277.1784695255379,231.7456254545696
20251114_164247,313.8681889225383,276.8221273466252,231.235617003014
20251114_164358,316.8566967570621,278.4977330635166,235.8757757743509
20251114_164509,314.9418655690744,276.9831775496106,233.1004618407899
20251114_164620,315.5059718922569,275.6950013499156,233.5573022028218
20251114_164731,316.3178516051141,277.0287661146189,233.3594457486971
20251114_164842,313.3266700745147,275.6369185018146,232.0931663005325
20251114_164953,315.9747760699341,277.4391053595108,233.4640652404935
20251114_165104,314.4270946498485,276.3621766386593,233.0416345
20251114_165215,315.6642217647403,276.3800049846864,233.9937721722485
20251114_165326,315.0857034797811,277.0656579991746,232.7893864913659
20251114_165437,316.5776098403857,279.4953752759258,234.287742556022
20251114_165548,315.8079555660937,278.3936067513296,234.3086552162705
20251114_165659,317.362729355965,276.8388207538625,234.0180326658216
20251114_165810,317.491113958621,278.8133815362573,234.0588422958173
20251114_165921,317.4305872639044,278.4409085251544,231.2888334252726
20251114_170032,313.9692948078181,275.8880743836868,232.1143409108542
20251114_170143,316.4329875479184,278.843881847001,233.0814246157469
20251114_170254,316.486258144985,278.17288350999,233.3565337553083
20251114_170405,316.2617418439019,277.8923553044825,232.2612617484296
20251114_170516,316.2588623244662,277.374187584158,234.0188990957228
20251114_170627,314.7270715285237,277.1869819494417,233.398986678042
20251114_170738,315.4088665392602,276.5925974901568,232.3519859817455
20251114_170849,315.3958535184054,277.3391868968705,231.806635197989
20251114_171000,315.7476660076063,277.3873673385261,231.9917888115348
20251114_171111,315.5140155262124,277.0204446857259,233.2894135059171
20251114_171222,317.022037054304,277.2570514403072,233.9101793242767
20251114_171333,315.242784964849,275.3748854973002,233.53417517001
20251114_171444,315.5172008044764,276.00953566602,233.5626630377083
20251114_171555,314.8870013574752,277.2651624204171,231.6342746847411
20251114_171706,314.2961585447287,277.4262046648788,231.8160525111395
20251114_171817,315.8711859553913,276.3381693886838,231.846891042754
20251114_171928,314.6520411744106,276.4120500690593,231.3431335637918
20251114_172039,315.2663173624877,276.5523140433944,232.8925570625937
20251114_172150,316.7135100523868,277.566146238161,232.8558818017974
20251114_172301,316.9193512692609,278.3306624675533,234.7126651480609
20251114_172412,316.7436328812195,278.2001075117738,233.6014352224541
20251114_172523,315.7061223448617,276.994269403091,232.5797308656516
20251114_172634,316.5105223882418,276.7330783364948,232.6956929574515
20251114_172745,315.4784375349271,277.1539921898064,232.0820551297576
20251114_172856,315.0747901545857,275.558204615987,233.2907495149249
20251114_173007,314.4394111387392,278.2688429115998,233.60731765005
20251114_173118,315.9026865614787,275.8214171342047,232.103633557538
20251114_173229,315.4233724695447,276.3296792498005,232.6598118619045
20251114_173340,315.7547802537462,278.1537793964679,232.426604920951
20251114_173451,316.7707305250991,278.9327324254413,234.0320869572888
20251114_173602,316.4874364303943,275.7704499191306,232.0480124031025
20251114_173713,315.4752501053612,276.0906615134681,233.8863503023586
20251114_173824,314.8018666319325,276.095602968989,231.3306876355611
20251114_173935,315.9790787025528,277.2722649785547,231.2756438683601
20251114_174046,314.1704376734936,275.244458343978,231.038081552398
20251114_174157,316.7252696954249,278.3115153897365,233.9001684955188
20251114_174308,315.9753612325343,276.4416471759036,232.0556122496375
20251114_174419,316.0302735856079,276.7222075702343,232.678226182189
20251114_174530,317.2617974453291,278.4125376785763,233.5097415483033
20251114_174641,315.5077842053852,277.5269315137483,233.3226460115877
20251114_174752,313.6170037844443,275.0345268074205,232.4369198161341
20251114_174903,314.4955162646577,277.6595884758842,233.3775898607049
20251114_175014,315.7491027005564,276.8186569068222,232.667131432804
20251114_175125,316.1662457938513,277.6741043111305,233.7800621308415
20251114_175236,314.83125282703,277.5260222945171,232.760304650209
20251114_175347,315.3011174501997,276.162190146827,233.9885226195171
20251114_175458,315.2167997638738,275.6701166314389,232.0117699056942
20251114_175609,314.5085146751787,278.0028635407102,233.5792313217868
20251114_175720,313.566668686951,275.6700104025311,231.3093701404872
20251114_175831,314.9563668529458,277.4187951158063,232.8019194752593
20251114_175942,318.0300288401897,279.0521811037811,233.2793973050927
20251114_180053,315.4365688231338,277.4344059330768,232.845471006957
20251114_180204,315.1193294189041,277.304183278045,234.0775235092341
20251114_180315,316.4334375343909,276.6121074104508,232.5015187335525
20251114_180426,314.3226983221261,275.5939128077039,231.0202509169399
20251114_180537,314.6361186665165,276.0813654427722,232.9169783476892
