ts,CH2,CH3,CH4
20251119_100638,356.851738794841,351.6764426042022,352.3035727446485
20251119_100740,358.0048897674441,352.5768444482243,352.2329354400977
20251119_100843,356.2717325461235,351.3629367379327,352.1115206188927
20251119_100946,356.9337766616153,352.4322120725909,352.0889143438557
20251119_101049,356.4308938141743,352.3774316046199,350.8355377480628
20251119_101152,358.5580413484676,353.568268974791,353.2850983156091
20251119_101255,357.995485902039,352.5415073777807,351.406386587998
20251119_101358,355.8897752481906,351.050963774919,352.4545193654104
20251119_101501,358.3655366859123,352.2095721025048,351.8464823349044
20251119_101604,357.2194873780725,352.512781922032,351.1952707987896
20251119_101707,356.8627448543232,350.7820015331633,352.3054518309379
20251119_101810,357.6056662910761,353.1474116568451,353.0956948923348
20251119_101913,358.1777015043814,352.6000938702704,353.0192998016284
20251119_102016,355.102321122464,351.6661241281264,351.1030609455092
20251119_102119,357.7881604932268,352.2504649172428,354.1869297094371
20251119_102222,358.2059206054056,352.918205642,352.538993842296
20251119_102325,358.204900567013,351.0697908234919,352.0961425456965
20251119_102428,357.8035097583023,352.109558331375,352.8049789263342
20251119_102531,356.6584868087219,352.0129846268281,352.1922933834236
20251119_102634,357.4985305483543,352.2663987606067,352.8905602151519
20251119_102737,358.3632117615298,352.4986576372929,353.8425275198039
20251119_102840,357.5279419138934,353.3695638425471,352.356493602973
20251119_102943,358.250754767423,351.7068449104677,352.746972512646
20251119_103046,357.3405418711536,352.1031693222609,352.5457544766376
20251119_103149,356.2919288192344,350.690531682044,352.25811512195
20251119_103252,358.7210077648864,352.9306270817717,352.2580225040711
20251119_103355,352.3816203884127,352.208636000408,352.1220405485185
20251119_103458,356.1635623759341,351.793875365004,352.2022752730924
20251119_103601,356.7058325592456,351.6288689917411,351.2657645822779
20251119_103704,357.700096170203,352.0500027832283,352.5076984052591
20251119_103807,356.9367460085439,352.8814741206706,351.6234891766181
20251119_103910,357.9180702122794,352.9480251378446,353.6525096530985
20251119_104013,356.413170826966,351.859676889174,352.5464225438544
20251119_104116,350.2986554714049,353.7960900565423,354.241605860475
20251119_104219,357.7223085750608,351.5238013336085,352.5179219107762
20251119_104322,358.8744492647311,353.0114321492625,353.865901657518
20251119_104425,347.9440403093918,352.6148670557081,351.7255464097723
20251119_104528,351.4686783631923,353.7394306237176,353.9639222477583
20251119_104631,356.264960966013,354.1716292463663,352.6703877086904
20251119_104734,357.7904529124272,352.2224391332236,352.1661299566655
20251119_104837,357.291611004026,352.6558707838281,353.2831918562923
20251119_104940,356.2024797982372,350.386799692768,351.8460370176192
20251119_105043,358.9051812164565,352.6456262470752,353.124634926302
20251119_105146,356.9517209872126,351.5613437847635,351.8841037545922
20251119_105249,357.6078452302755,351.595173493587,352.8718381291091
20251119_105352,357.1697009358968,351.3315717237542,353.456024122711
20251119_105455,358.5512165958741,352.7381776429239,352.0693962452623
20251119_105558,358.2750059389399,351.9445087788292,351.0033620410694
20251119_105701,357.8500113932802,353.3893992112754,350.7860362433028
20251119_105804,357.8727807856296,353.9769100647635,353.2695559174102
20251119_105907,358.911662119345,352.6109389433628,353.3380498844342
20251119_110010,356.2798587352905,352.006501661975,351.4510993493914
20251119_110113,357.0175068348616,352.1977924566895,351.8905555897081
20251119_110216,356.6350583058129,351.9851485671521,351.928237361985
20251119_110319,358.2499538606813,353.3035160034963,353.7386135712632
20251119_110422,358.4491652816242,352.3116504197882,351.3529570723303
20251119_110525,356.775852583979,351.834221715025,351.3914939566189
20251119_110628,356.565285778197,351.2642626720673,349.7755262689463
20251119_110731,358.7891493394933,351.8987363059136,353.8335988370724
20251119_110834,356.8327081004621,350.9943399824059,352.081602509134
20251119_110937,356.160158837979,351.2225120427676,351.6703205504334
20251119_111040,357.9984216282751,352.637175180934,353.7531545873674
20251119_111143,357.1657771604443,352.1169929094381,353.1321050366702
20251119_111246,356.7054020092974,351.6163364351851,351.7105233771687
20251119_111349,357.920806594707,352.9355742655219,352.3211042130621
20251119_111452,356.5146567007525,352.168869276014,351.94671402295
20251119_111555,357.3939204258121,351.0362474061378,351.567007525035
20251119_111658,357.135330594972,351.2503323751204,352.721207444121
20251119_111801,358.8460956071241,353.0784020383682,353.6136542574095
20251119_111904,345.4266405942421,351.6646952611301,353.0697288670701
20251119_112007,357.3902118447395,352.0928683093684,353.9011618997391
20251119_112110,357.7872055247759,353.6419156374586,353.2545726516444
20251119_112213,356.2645259516559,351.9718454693814,351.5346283183601
20251119_112316,356.6699342090919,352.7391181918543,352.7252600899416
20251119_112419,357.578956548037,351.0659930412187,351.9236129075339
20251119_112522,355.8370194137609,352.123652134007,349.4160513352815
